"","1706784_MW112_HPC5_1_S86_L003","1706785_MW112_HPC5_2_S87_L003","1706786_MW112_HPC5_3_S88_L003","SRR908270_RNAseq_HPC7","SRR908271_RNAseq_HPC7","treatment_mean","control_mean","logFC"
"ENSMUSG00000000359",0,0,0,0,3.47248268393831,1.73624134196916,0,1.45219548442936
"ENSMUSG00000000365",0.435079207337546,0,0,4.67596658053721,0,2.33798329026861,0.145026402445849,1.54359586777316
"ENSMUSG00000000374",3905.40577553838,3892.17808543186,3814.07443596794,2045.96189670143,1880.3493733526,1963.15563502702,3870.55276564606,-0.979003054962107
"ENSMUSG00000000378",1797.09378177881,1873.39269988087,1767.5801931573,2427.75929999542,2280.96163281403,2354.36046640472,1812.68889160566,0.37702086146654
"ENSMUSG00000000381",0.132471514053831,1.004487332378,0,0,2.7873051744008,1.3936525872004,0.378986282143942,0.795605670578259
"ENSMUSG00000000384",1261.86237468918,1253.3999110684,1398.97925541144,1598.64024684927,1418.81821444326,1508.72923064627,1304.74718038967,0.20941423757282
"ENSMUSG00000000385",0.530770015702417,0.577303186803896,0,0,0,0,0.369357734168771,-0.453499388810293
"ENSMUSG00000000386",2165.24689175662,1995.10598280194,2134.55778174503,128.59629281829,120.418363139634,124.507327978962,2098.3035521012,-4.06406728429041
"ENSMUSG00000000392",6.1144360933358,5.44502264935867,3.41086746193329,12840.5554512137,9769.71371477653,11305.1345829951,4.99010873487592,10.8822359632964
"ENSMUSG00000000394",0,0,0,0,1.73624134196916,0.868120670984578,0,0.90158764873505
"ENSMUSG00000000399",5093.26907068039,5718.76536847939,5017.63122338447,3048.10434425242,2095.64329975677,2571.87382200459,5276.55522084808,-1.03648906240709
"ENSMUSG00000000402",8.62372387138715,12.1713190376666,2.36325674314207,12.0884038653104,17.5447990876156,14.816601476463,7.71943321739861,0.859133375512
"ENSMUSG00000000409",293.320174716442,341.354628115034,294.54289866473,109.003248787223,181.60624993182,145.304749359522,309.739233832068,-1.08672780400657
"ENSMUSG00000000411",1.06154003140483,0.577303186803896,0,1.89440916361244,0,0.94720458180622,0.546281072736243,0.332601881201512
"ENSMUSG00000000416",0,0.301730490850136,0,0,2.10839929934634,1.05419964967317,0.100576830283379,0.900316543418179
"ENSMUSG00000000420",2289.59046838417,2177.5702089681,2132.88138557062,2029.19137092741,1476.48026960915,1752.83582026828,2200.0140209743,-0.327654634742823
"ENSMUSG00000000435",0,0,0,0,0,0,0,0
"ENSMUSG00000000439",1233.99135913843,1237.44367603057,1173.80450795712,1496.78877670626,1342.46429313141,1419.62653491883,1215.07984770871,0.224289378670477
"ENSMUSG00000000440",1.09280793480688,0,0,0,0,0,0.364269311602295,-0.448128465594868
"ENSMUSG00000000441",7666.24225976159,8191.8589917473,7580.19804126844,4805.37672423745,4926.17869563596,4865.7777099367,7812.76643092578,-0.683051250104046
"ENSMUSG00000000486",2592.01385492032,2934.97690692326,2773.66795421455,230.137034397491,172.05784463824,201.097439517865,2766.88623868604,-3.77566170014725
"ENSMUSG00000000489",21.7615706437991,23.0921274721558,37.7041697624302,280.372556214641,227.447615797959,253.9100860063,27.5192892927951,3.15997852243249
"ENSMUSG00000000530",11.2750071812741,13.6717507802484,21.5965359055021,39.6606314692784,59.0737195660381,49.3671755176582,15.5144312890082,1.60875654196262
"ENSMUSG00000000531",246.320589094716,251.245723793418,276.061751617532,564.849489778003,450.24498528733,507.547237532666,257.876021501889,0.974120447016208
"ENSMUSG00000000532",3872.52720225514,3409.80774951586,3635.2265981416,3400.43638342351,3650.88346956898,3525.65992649625,3639.1871833042,-0.0457101733094869
