"target_id","pval","qval","ext_gene","num_aggregated_transcripts"
"ENSMUSG00000073843",0.0402817225567009,0.0432158633501055,"Gm12542",1
"ENSMUSG00000084172",0.0402826727294653,0.0432158633501055,"Gm16420",1
"ENSMUSG00000001496",0.0402885624610841,0.0432191530591643,"Nkx2-1",1
"ENSMUSG00000004267",0.0402953488959221,0.0432234041692086,"Eno2",3
"ENSMUSG00000049576",0.0403360071268453,0.0432639852226561,"Zfa",1
"ENSMUSG00000074004",0.0403604481277458,0.0432871673747308,"B3gnt6",1
"ENSMUSG00000062518",0.0403644089380774,0.0432883825153488,"Zfp534",1
"ENSMUSG00000007872",0.0403789798971258,0.043298468431839,"Id3",1
"ENSMUSG00000069300",0.0403794705600296,0.043298468431839,"Hist1h2bj",1
"ENSMUSG00000084821",0.0404334493211747,0.0433533124752079,"Gm15880",1
"ENSMUSG00000028445",0.0404406901937449,0.0433580393252449,"Enho",2
"ENSMUSG00000078772",0.0404436976481168,0.0433582270185148,"Gm12353",1
"ENSMUSG00000090017",0.0404613560504074,0.0433741203375096,"Gm16213",1
"ENSMUSG00000082971",0.0405058948986819,0.0434188249498651,"Gm13517",1
"ENSMUSG00000031788",0.0405196056234082,0.0434304805267563,"Kifc3",2
"ENSMUSG00000078917",0.040523920786859,0.0434320646506503,"Gm11281",1
"ENSMUSG00000091515",0.0405908252432139,0.0435007247845924,"Zfp422-rs1",1
"ENSMUSG00000003348",0.0405938460885943,0.0435009167605321,"Mob3a",1
"ENSMUSG00000054753",0.0406076377136498,0.0435126500154383,"AU018091",1
"ENSMUSG00000044361",0.0406132694472356,0.043512900941231,"BC024139",1
"ENSMUSG00000056257",0.0406135568753794,0.043512900941231,"Gm5447",1
"ENSMUSG00000039103",0.0406271276019515,0.0435243942424714,"Nexn",1
"ENSMUSG00000019837",0.0406345179847941,0.0435292653121923,"Gtf3c6",1
"ENSMUSG00000079360",0.0406518610904794,0.0435447966953368,"Gm3839",1
"ENSMUSG00000089716",0.0406588827961213,0.043549270769873,"Gm6264",1
"ENSMUSG00000082051",0.0406950466403243,0.0435849558504222,"Gm16072",1
"ENSMUSG00000027796",0.0407268143547549,0.0436159279517691,"Smad9",1
"ENSMUSG00000082895",0.0407326842796366,0.0436191627109253,"Rpsa-ps9",1
"ENSMUSG00000078197",0.0407743151331117,0.0436606894276492,"Gm17374",1
"ENSMUSG00000024713",0.040791839512059,0.0436763991921802,"Pcsk5",1
"ENSMUSG00000083621",0.0408111526567974,0.0436940218820992,"Gm14586",1
"ENSMUSG00000068284",0.0408293820208195,0.0437104818501088,"Gm608",2
"ENSMUSG00000040121",0.0408430131312825,0.0437220171338233,"Rep15",1
"ENSMUSG00000071303",0.0409080059985669,0.0437885291816001,"Rps8-ps1",1
"ENSMUSG00000087498",0.0409265505290544,0.0438053164241899,"2210416O15Rik",1
"ENSMUSG00000059179",0.040943312563496,0.0438186581638703,"Gm8991",1
"ENSMUSG00000058260",0.0409447404217403,0.0438186581638703,"Serpina9",1
"ENSMUSG00000079104",0.0409933321811039,0.0438674532590279,"Prps1l3",1
"ENSMUSG00000047150",0.0409960665223186,0.0438674532590279,"1700001C19Rik",1
"ENSMUSG00000027525",0.0409999225270822,0.0438685128989009,"Phactr3",1
"ENSMUSG00000021650",0.0410031797535076,0.0438689317631181,"Ptcd2",1
"ENSMUSG00000020262",0.0410155663661581,0.0438791173340659,"Adarb1",2
"ENSMUSG00000052825",0.041039671509291,0.0439018372791213,"Gm9892",1
"ENSMUSG00000082515",0.0410522520799337,0.0439119952154418,"Gm12902",1
"ENSMUSG00000086121",0.0410549043325975,0.0439119952154418,"Gm16068",1
"ENSMUSG00000027485",0.0410665500696842,0.0439213825519965,"Bpifb1",1
"ENSMUSG00000016283",0.0411167878254734,0.0439720405220306,"H2-M2",1
"ENSMUSG00000020604",0.0411206767210532,0.0439731274359681,"Arsg",2
"ENSMUSG00000089822",0.0411290163637694,0.0439789733512561,"Gm15759",1
"ENSMUSG00000040562",0.0411690664046043,0.0440187237914146,"Gstm2",1
"ENSMUSG00000038677",0.0412028192717644,0.0440517360952766,"Scube3",1
"ENSMUSG00000029384",0.041261574605932,0.044109697130329,"2010109A12Rik",1
"ENSMUSG00000041052",0.0412627948070493,0.044109697130329,"Slc7a13",1
"ENSMUSG00000002633",0.0412662600427401,0.0441103211182366,"Shh",1
"ENSMUSG00000048655",0.0413060109845523,0.0441497288194056,"A730037C10Rik",1
"ENSMUSG00000063652",0.0414087183165635,0.0442564169510545,"Slc22a21",1
"ENSMUSG00000072974",0.0414138185420309,0.0442587778722011,"Gm4787",1
"ENSMUSG00000092256",0.0414291436994656,0.0442701223871808,"Gm18359",1
"ENSMUSG00000090459",0.0414302177501144,0.0442701223871808,"Gm17210",1
"ENSMUSG00000014329",0.0414407737002733,0.0442783111470499,"Bicc1",2
"ENSMUSG00000030662",0.0414982876565947,0.044336668582297,"Ipo5",2
"ENSMUSG00000049184",0.0415318436205714,0.0443694229983744,"Purg",2
"ENSMUSG00000052133",0.0417043505180741,0.0445506069595728,"Sema5b",1
"ENSMUSG00000001707",0.0417169296232065,0.044560934943273,"Eef1e1",1
"ENSMUSG00000021708",0.0418059237174571,0.0446528802865499,"Rasgrf2",1
"ENSMUSG00000026686",0.0418570878874759,0.0447044095012545,"Lmx1a",1
"ENSMUSG00000027848",0.0418648913302001,0.0447096244232387,"Olfml3",2
"ENSMUSG00000039058",0.0419436229839202,0.0447905811397175,"Ak5",1
"ENSMUSG00000021391",0.0419956675741501,0.0448430300798751,"Cenpp",2
"ENSMUSG00000038323",0.0420134098515454,0.0448588462026544,"1700066M21Rik",1
"ENSMUSG00000007653",0.0420956228961464,0.0449434924880882,"Gabrb2",1
"ENSMUSG00000033488",0.0421170511993398,0.0449632345184109,"BC026585",1
"ENSMUSG00000042099",0.04212755270009,0.0449704040451496,"Kank3",2
"ENSMUSG00000080873",0.0421296423054279,0.0449704040451496,"Rpl30-ps3",1
"ENSMUSG00000047787",0.0421666882621025,0.0450068096441406,"Flrt1",1
"ENSMUSG00000052854",0.0422283927654559,0.0450695277454925,"Nrk",1
"ENSMUSG00000082936",0.0422373043311971,0.0450758961727528,"Gm16166",1
"ENSMUSG00000092376",0.0422747724502666,0.0451127203591541,"Gm19203",1
