"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Glipr1"	0.00284570042691514	0.227711002886827	0.763	0.537	1	0.00666081528497719
"Cdk6"	0.00288189203950573	0.397287521981937	0.785	0.693	1	0.00667220656972521
"Snu13"	0.0030109850318195	0.219726047478833	0.933	0.857	1	0.00682667588940937
"Ube2s"	0.00301271142537315	-0.220510033547055	0.963	0.943	1	0.00682667588940937
"Psmd11"	0.00311661950003404	0.22107842117054	0.689	0.541	1	0.00692621283504343
"H2-Q7"	0.00312167339044211	0.218224481799294	0.993	0.971	1	0.00692621283504343
"Hspa5"	0.00316561479887565	0.271024622945967	0.933	0.811	1	0.00695129847588158
"Cirbp"	0.00321580788966204	-0.225433950857923	0.778	0.807	1	0.00698946000508178
"Sdf2l1"	0.0034302247316468	0.224689748790041	0.593	0.393	1	0.00738018048324009
"Nop56"	0.00358678244964722	0.235779493565213	0.874	0.787	1	0.00763984661774859
"Dynll1"	0.00366280790238189	0.225044267445771	0.919	0.816	1	0.00772453547730041
"Lsm8"	0.00384001595416538	0.243322555920784	0.756	0.635	1	0.00797815781681436
"Sap30"	0.00385798241845953	0.20537747105161	0.467	0.287	1	0.00797815781681436
"Zbtb20"	0.00404536912953248	-0.257102169372721	0.778	0.816	1	0.00828522715952324
"Map2k3"	0.0041932498119383	0.212596121349673	0.467	0.299	1	0.00850630676136055
"Fkbp4"	0.00427636144339516	0.230176991802525	0.859	0.701	1	0.00859306591927518
"Elane"	0.00437170387793051	-0.262911480588205	0.207	0.32	1	0.00869439965641271
"Trim59"	0.00440842799480081	-0.340762143704844	0.481	0.537	1	0.00869439965641271
"Itpa"	0.00453770360501011	0.201310557063858	0.548	0.361	1	0.00884985971072066
"Clspn"	0.0045703500853487	0.244324808688448	0.77	0.652	1	0.00884985971072066
"Gm26917"	0.00466319803880934	0.23738924941825	0.593	0.406	1	0.00890653307685381
"Cd63"	0.00468324743947243	0.233013300535266	0.919	0.766	1	0.00890653307685381
"Cenpa"	0.00473675324520606	-0.368010597068302	0.548	0.676	1	0.00892857027636186
"Slc25a4"	0.00482340069489765	0.223052876037026	0.904	0.77	1	0.00901214340362455
"Gpr171"	0.00502742954597832	0.239456456696566	0.444	0.295	1	0.00925313859240079
"Ube2c"	0.00505094342603673	-0.46664170205223	0.541	0.656	1	0.00925313859240079
"Tmem238"	0.00508270993103705	0.225603062083725	0.622	0.422	1	0.00925313859240079
"Gimap6"	0.00515932315191207	-0.341578348932908	0.496	0.537	1	0.00931301551997688
"Lgals1"	0.00529730414673095	-0.375983954097797	0.4	0.52	1	0.00941369350863754
"Chaf1a"	0.00532125451543835	0.217722943724869	0.593	0.447	1	0.00941369350863754
"Ung"	0.00534768504481287	0.210611787485203	0.296	0.164	1	0.00941369350863754
"Mndal"	0.00547309840408889	0.201482297962523	0.83	0.652	1	0.00955549147599125
"Cd27"	0.00555497656736295	0.219804152470257	0.785	0.594	1	0.00961959356787242
"Gnl3"	0.00567887301042606	0.253868968047931	0.8	0.66	1	0.00963248607913
"Cdca3"	0.00573384413417561	-0.268843252108971	0.674	0.746	1	0.00963248607913
"Exosc10"	0.00574213605041731	0.207351822599736	0.489	0.316	1	0.00963248607913
"Tm2d1"	0.00574331329600709	-0.204356174888349	0.281	0.373	1	0.00963248607913
"Usmg5"	0.00609179412259996	-0.248668222251654	0.63	0.676	1	0.00999385003136979
"Ybx3"	0.00610775332011199	0.260712852342334	0.919	0.873	1	0.00999385003136979
"Mrpl15"	0.00613888255256127	0.2035065098387	0.748	0.553	1	0.00999385003136979
"Anxa5"	0.00615647006064036	-0.260400000209697	0.548	0.627	1	0.00999385003136979
"Cdv3"	0.00619337185042635	0.2010232813695	0.896	0.783	1	0.00999385003136979
