"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Glg1"	1.95696759637153e-05	0.242337322298436	0.363	0.244	0.607697147701251	3.06108239234045e-05
"Rras"	1.96419453508512e-05	0.208219087127896	0.236	0.142	0.609941328979983	3.06108239234045e-05
"Tsc22d3"	2.41431018708257e-05	0.217691829512687	0.465	0.325	0.74971574239475	3.71432336474241e-05
"Insig1"	2.45269787457193e-05	0.21025198594314	0.289	0.187	0.761636270990822	3.72561702466623e-05
"Arid1b"	2.84150496832337e-05	0.217352925740979	0.572	0.445	0.882372537813455	4.26225745248505e-05
"Tagln2"	3.00945311976069e-05	0.206450155927048	0.873	0.776	0.934525477279287	4.45844906631213e-05
"Cox6c"	3.7893231696353e-05	-0.235179178790788	0.746	0.766	1	5.5453509799541e-05
"Rb1cc1"	3.87817769494776e-05	0.201311965347121	0.609	0.472	1	5.60700389631002e-05
"Ncor1"	6.08637508950784e-05	0.20637738520368	0.781	0.669	1	8.69482155643977e-05
"Uqcrb"	6.57940690415163e-05	-0.257087193612612	0.639	0.665	1	9.28857445291995e-05
"Stat1"	6.80230363649981e-05	0.271987884913926	0.506	0.38	1	9.49158646953462e-05
"Prtn3"	7.88381067064186e-05	0.210255410054098	0.902	0.861	1	0.000108742216146784
"Hlf"	8.29369637652578e-05	0.209761055809655	0.947	0.927	1	0.000113095859679897
"Ly6a"	8.51280621027987e-05	0.274355610841707	0.775	0.691	1	0.000114779409576807
"Scd2"	9.30596600518988e-05	0.260324346328822	0.65	0.546	1	0.000123856375959845
"Nop10"	9.39244184362159e-05	-0.208917323439	0.758	0.779	1	0.000123856375959845
"Rfk"	0.000106232636288837	0.213981088948679	0.258	0.168	1	0.00013856430820283
"Vgll4"	0.000121980567684264	0.215244185942852	0.453	0.341	1	0.000157394280882921
"Gclm"	0.000134428095547299	0.203511745518537	0.623	0.481	1	0.000171610334741233
"Eif4b"	0.000140263676052393	0.209967879990263	0.713	0.604	1	0.000177175169750391
"Prr13"	0.000144268338089595	0.205602599737539	0.512	0.391	1	0.000178991377852023
"Uqcc2"	0.000144684697097052	-0.24812268574743	0.352	0.425	1	0.000178991377852023
"Mrpl23"	0.000157104368817109	-0.200806016843492	0.674	0.718	1	0.000192372696510746
"Ssr4"	0.000161028658185092	-0.201992388717473	0.807	0.829	1	0.000195186252345566
"Ndufv3"	0.000200907474541769	-0.270453218939206	0.357	0.415	1	0.000241088969450122
"Ltb"	0.000325733246467955	0.244516135205926	0.668	0.55	1	0.000387009797783709
"Runx1"	0.000390835262621233	0.225309333003058	0.639	0.517	1	0.000459806191319098
"Kansl1l"	0.000405742718681684	0.211760481520947	0.254	0.172	1	0.000472709963512641
"Cox5b"	0.000526456023300923	-0.213756895377105	0.672	0.691	1	0.000607449257654912
"Pdzk1ip1"	0.000671227134116647	0.220732117077791	0.625	0.519	1	0.000767116724704739
